u,errMean,errStd
1.0084473613,0.232986975094,0.31327168106
1.00961093521,0.352464003312,0.455026566863
1.00731514523,0.188305741618,0.313810653125
1.00755989205,0.189470517888,0.30527422953
1.00683422169,0.201975445117,0.331794778452
1.00804336626,0.207643935028,0.299982554264
1.00709275526,0.192770213663,0.321432952658
1.00819095924,0.214498332689,0.303342310173
1.00725089647,0.189207566397,0.31581231149
imVola,0.0505378834343,0.0843678348481
imVolaGiven,0.0448397508013,0.0723158330639
hisVola,0.193911239052,0.301018401547
garchVola,0.329698783236,0.390333582641
