u,errMean,errStd
1.0084473613,0.60674063871,0.400081408063
1.00961093521,0.564245956315,0.404760883793
1.00731514523,0.65367226676,0.383312211102
1.00755989205,0.644074662439,0.386925369376
1.00683422169,0.671691659253,0.37749829154
1.00804336626,0.624208642415,0.394064409419
1.00709275526,0.662189928282,0.38042940678
1.00819095924,0.617735419942,0.396344616465
1.00725089647,0.656141017274,0.38243926609
imVola,0.0965905974612,0.17889593364
imVolaGiven,0.189867073335,0.274381940521
hisVola,0.638018294857,0.388996733062
garchVola,0.728728309805,0.362709765342
